time,name,type,rarity,banner
2021-04-13 20:23:02,Sacrificial Greatsword,Weapon,4,Permanent Wish
2021-04-13 20:20:46,Emerald Orb,Weapon,3,Permanent Wish
2021-04-13 20:20:42,Black Tassel,Weapon,3,Permanent Wish
2021-04-13 20:20:36,Skyrider Sword,Weapon,3,Permanent Wish
2021-04-13 20:20:31,Sucrose,Character,4,Permanent Wish
2021-04-13 20:20:24,Ferrous Shadow,Weapon,3,Permanent Wish
2021-04-06 07:33:20,Sacrificial Fragments,Weapon,4,Character Event Wish
2021-04-06 07:33:20,Noelle,Character,4,Character Event Wish
2021-04-06 07:33:20,Raven Bow,Weapon,3,Character Event Wish
2021-04-06 07:33:20,Raven Bow,Weapon,3,Character Event Wish
2021-04-06 07:33:20,Slingshot,Weapon,3,Character Event Wish
2021-04-06 07:33:20,Harbinger of Dawn,Weapon,3,Character Event Wish
2021-04-06 07:33:20,Black Tassel,Weapon,3,Character Event Wish
2021-04-06 07:33:20,Slingshot,Weapon,3,Character Event Wish
2021-04-06 07:33:20,Debate Club,Weapon,3,Character Event Wish
2021-04-06 07:33:20,Cool Steel,Weapon,3,Character Event Wish
2021-04-05 16:50:27,Skyrider Sword,Weapon,3,Character Event Wish
2021-04-05 16:50:27,Razor,Character,4,Character Event Wish
2021-04-05 16:50:27,Ferrous Shadow,Weapon,3,Character Event Wish
2021-04-05 16:50:27,Harbinger of Dawn,Weapon,3,Character Event Wish
2021-04-05 16:50:27,Harbinger of Dawn,Weapon,3,Character Event Wish
2021-04-05 16:50:27,Magic Guide,Weapon,3,Character Event Wish
2021-04-05 16:50:27,Bloodtainted Greatsword,Weapon,3,Character Event Wish
2021-04-05 16:50:27,Emerald Orb,Weapon,3,Character Event Wish
2021-04-05 16:50:27,Black Tassel,Weapon,3,Character Event Wish
2021-04-05 16:50:27,Raven Bow,Weapon,3,Character Event Wish
2021-04-01 12:19:15,Cool Steel,Weapon,3,Permanent Wish
2021-04-01 12:19:15,Cool Steel,Weapon,3,Permanent Wish
2021-04-01 12:19:15,Noelle,Character,4,Permanent Wish
2021-04-01 12:19:15,Skyrider Sword,Weapon,3,Permanent Wish
2021-04-01 12:19:15,Magic Guide,Weapon,3,Permanent Wish
2021-04-01 12:19:15,Ferrous Shadow,Weapon,3,Permanent Wish
2021-04-01 12:19:15,Cool Steel,Weapon,3,Permanent Wish
2021-04-01 12:19:15,Ferrous Shadow,Weapon,3,Permanent Wish
2021-04-01 12:19:15,Magic Guide,Weapon,3,Permanent Wish
2021-04-01 12:19:15,Harbinger of Dawn,Weapon,3,Permanent Wish
2021-03-22 09:50:12,Razor,Character,4,Character Event Wish
2021-03-22 09:50:12,Harbinger of Dawn,Weapon,3,Character Event Wish
2021-03-22 09:50:12,Cool Steel,Weapon,3,Character Event Wish
2021-03-22 09:50:12,Emerald Orb,Weapon,3,Character Event Wish
2021-03-22 09:50:12,Raven Bow,Weapon,3,Character Event Wish
2021-03-22 09:50:12,Black Tassel,Weapon,3,Character Event Wish
2021-03-22 09:50:12,Ferrous Shadow,Weapon,3,Character Event Wish
2021-03-22 09:50:12,Emerald Orb,Weapon,3,Character Event Wish
2021-03-22 09:50:12,Magic Guide,Weapon,3,Character Event Wish
2021-03-22 09:50:12,Rainslasher,Weapon,4,Character Event Wish
2021-03-22 09:49:25,Skyrider Sword,Weapon,3,Character Event Wish
2021-03-22 09:49:25,Magic Guide,Weapon,3,Character Event Wish
2021-03-22 09:49:25,Black Tassel,Weapon,3,Character Event Wish
2021-03-22 09:49:25,Emerald Orb,Weapon,3,Character Event Wish
2021-03-22 09:49:25,Bloodtainted Greatsword,Weapon,3,Character Event Wish
2021-03-22 09:49:25,Harbinger of Dawn,Weapon,3,Character Event Wish
2021-03-22 09:49:25,Thrilling Tales of Dragon Slayers,Weapon,3,Character Event Wish
2021-03-22 09:49:25,Magic Guide,Weapon,3,Character Event Wish
2021-03-22 09:49:25,Sharpshooter's Oath,Weapon,3,Character Event Wish
2021-03-22 09:49:25,Noelle,Character,4,Character Event Wish
2021-03-22 09:49:13,Raven Bow,Weapon,3,Character Event Wish
2021-03-22 09:49:13,Thrilling Tales of Dragon Slayers,Weapon,3,Character Event Wish
2021-03-22 09:49:13,Magic Guide,Weapon,3,Character Event Wish
2021-03-22 09:49:13,Black Tassel,Weapon,3,Character Event Wish
2021-03-22 09:49:13,Skyrider Sword,Weapon,3,Character Event Wish
2021-03-22 09:49:13,Emerald Orb,Weapon,3,Character Event Wish
2021-03-22 09:49:13,Sharpshooter's Oath,Weapon,3,Character Event Wish
2021-03-22 09:49:13,Slingshot,Weapon,3,Character Event Wish
2021-03-22 09:49:13,Sucrose,Character,4,Character Event Wish
2021-03-22 09:49:13,Cool Steel,Weapon,3,Character Event Wish
2021-03-20 22:21:35,Black Tassel,Weapon,3,Character Event Wish
2021-03-20 22:21:35,Magic Guide,Weapon,3,Character Event Wish
2021-03-20 22:21:35,Bloodtainted Greatsword,Weapon,3,Character Event Wish
2021-03-20 22:21:35,Emerald Orb,Weapon,3,Character Event Wish
2021-03-20 22:21:35,Sharpshooter's Oath,Weapon,3,Character Event Wish
2021-03-20 22:21:35,Black Tassel,Weapon,3,Character Event Wish
2021-03-20 22:21:35,Black Tassel,Weapon,3,Character Event Wish
2021-03-20 22:21:35,Thrilling Tales of Dragon Slayers,Weapon,3,Character Event Wish
2021-03-20 22:21:35,Xinyan,Character,4,Character Event Wish
2021-03-20 22:21:35,Harbinger of Dawn,Weapon,3,Character Event Wish
2021-03-18 09:16:34,Slingshot,Weapon,3,Permanent Wish
2021-03-18 09:16:34,Sharpshooter's Oath,Weapon,3,Permanent Wish
2021-03-18 09:16:34,Lion's Roar,Weapon,4,Permanent Wish
2021-03-18 09:16:34,Harbinger of Dawn,Weapon,3,Permanent Wish
2021-03-18 09:16:34,Cool Steel,Weapon,3,Permanent Wish
2021-03-18 09:16:34,Bloodtainted Greatsword,Weapon,3,Permanent Wish
2021-03-18 09:16:34,Raven Bow,Weapon,3,Permanent Wish
2021-03-18 09:16:34,Raven Bow,Weapon,3,Permanent Wish
2021-03-18 09:16:34,Thrilling Tales of Dragon Slayers,Weapon,3,Permanent Wish
2021-03-18 09:16:34,Emerald Orb,Weapon,3,Permanent Wish
2021-03-18 09:16:00,Magic Guide,Weapon,3,Permanent Wish
2021-03-18 09:16:00,Bennett,Character,4,Permanent Wish
2021-03-18 09:16:00,Qiqi,Character,5,Permanent Wish
2021-03-18 09:16:00,Magic Guide,Weapon,3,Permanent Wish
2021-03-18 09:16:00,Thrilling Tales of Dragon Slayers,Weapon,3,Permanent Wish
2021-03-18 09:16:00,Magic Guide,Weapon,3,Permanent Wish
2021-03-18 09:16:00,Bloodtainted Greatsword,Weapon,3,Permanent Wish
2021-03-18 09:16:00,Skyrider Sword,Weapon,3,Permanent Wish
2021-03-18 09:16:00,Thrilling Tales of Dragon Slayers,Weapon,3,Permanent Wish
2021-03-18 09:16:00,Magic Guide,Weapon,3,Permanent Wish
2021-03-18 09:15:42,Xiangling,Character,4,Permanent Wish
2021-03-18 09:15:42,Thrilling Tales of Dragon Slayers,Weapon,3,Permanent Wish
2021-03-18 09:15:42,Harbinger of Dawn,Weapon,3,Permanent Wish
2021-03-18 09:15:42,Emerald Orb,Weapon,3,Permanent Wish
2021-03-18 09:15:42,Raven Bow,Weapon,3,Permanent Wish
2021-03-18 09:15:42,Harbinger of Dawn,Weapon,3,Permanent Wish
2021-03-18 09:15:42,Skyrider Sword,Weapon,3,Permanent Wish
2021-03-18 09:15:42,Ferrous Shadow,Weapon,3,Permanent Wish
2021-03-18 09:15:42,Slingshot,Weapon,3,Permanent Wish
2021-03-18 09:15:42,Favonius Warbow,Weapon,4,Permanent Wish
2021-03-08 16:59:50,Sacrificial Bow,Weapon,4,Weapon Event Wish
2021-03-08 16:59:45,Debate Club,Weapon,3,Weapon Event Wish
2021-03-08 16:59:42,Harbinger of Dawn,Weapon,3,Weapon Event Wish
2021-03-08 16:59:39,Harbinger of Dawn,Weapon,3,Weapon Event Wish
2021-03-08 16:59:33,Ferrous Shadow,Weapon,3,Weapon Event Wish
2021-02-25 12:02:25,Lithic Spear,Weapon,4,Weapon Event Wish
2021-02-25 12:02:18,Raven Bow,Weapon,3,Weapon Event Wish
2021-02-25 12:02:12,Black Tassel,Weapon,3,Weapon Event Wish
2021-02-25 12:02:07,Ferrous Shadow,Weapon,3,Weapon Event Wish
2021-02-25 11:59:37,Sharpshooter's Oath,Weapon,3,Weapon Event Wish
2021-02-25 11:59:32,Black Tassel,Weapon,3,Weapon Event Wish
2021-02-25 11:59:27,Bloodtainted Greatsword,Weapon,3,Weapon Event Wish
2021-02-25 11:59:22,Skyrider Sword,Weapon,3,Weapon Event Wish
2021-02-25 11:59:15,Lion's Roar,Weapon,4,Weapon Event Wish
2021-02-25 11:53:45,Bloodtainted Greatsword,Weapon,3,Weapon Event Wish
2021-02-25 11:53:45,Harbinger of Dawn,Weapon,3,Weapon Event Wish
2021-02-25 11:53:45,Skyrider Sword,Weapon,3,Weapon Event Wish
2021-02-25 11:53:45,Slingshot,Weapon,3,Weapon Event Wish
2021-02-25 11:53:45,Debate Club,Weapon,3,Weapon Event Wish
2021-02-25 11:53:45,Debate Club,Weapon,3,Weapon Event Wish
2021-02-25 11:53:45,Debate Club,Weapon,3,Weapon Event Wish
2021-02-25 11:53:45,Sacrificial Bow,Weapon,4,Weapon Event Wish
2021-02-25 11:53:45,Raven Bow,Weapon,3,Weapon Event Wish
2021-02-25 11:53:45,Thrilling Tales of Dragon Slayers,Weapon,3,Weapon Event Wish
2021-02-05 14:18:49,Raven Bow,Weapon,3,Permanent Wish
2021-02-05 14:18:49,Magic Guide,Weapon,3,Permanent Wish
2021-02-05 14:18:49,Slingshot,Weapon,3,Permanent Wish
2021-02-05 14:18:49,Slingshot,Weapon,3,Permanent Wish
2021-02-05 14:18:49,Debate Club,Weapon,3,Permanent Wish
2021-02-05 14:18:49,Magic Guide,Weapon,3,Permanent Wish
2021-02-05 14:18:49,Harbinger of Dawn,Weapon,3,Permanent Wish
2021-02-05 14:18:49,Magic Guide,Weapon,3,Permanent Wish
2021-02-05 14:18:49,Xinyan,Character,4,Permanent Wish
2021-02-05 14:18:49,Black Tassel,Weapon,3,Permanent Wish
2021-02-03 10:06:44,Skyrider Sword,Weapon,3,Character Event Wish
2021-02-03 10:06:44,Magic Guide,Weapon,3,Character Event Wish
2021-02-03 10:06:44,Debate Club,Weapon,3,Character Event Wish
2021-02-03 10:06:44,Slingshot,Weapon,3,Character Event Wish
2021-02-03 10:06:44,Black Tassel,Weapon,3,Character Event Wish
2021-02-03 10:06:44,Harbinger of Dawn,Weapon,3,Character Event Wish
2021-02-03 10:06:44,Xiao,Character,5,Character Event Wish
2021-02-03 10:06:44,Skyrider Sword,Weapon,3,Character Event Wish
2021-02-03 10:06:44,Diona,Character,4,Character Event Wish
2021-02-03 10:06:44,Bloodtainted Greatsword,Weapon,3,Character Event Wish
2021-02-03 10:06:36,Skyrider Sword,Weapon,3,Character Event Wish
2021-02-03 10:06:36,Emerald Orb,Weapon,3,Character Event Wish
2021-02-03 10:06:36,Cool Steel,Weapon,3,Character Event Wish
2021-02-03 10:06:36,Rainslasher,Weapon,4,Character Event Wish
2021-02-03 10:06:36,Emerald Orb,Weapon,3,Character Event Wish
2021-02-03 10:06:36,Black Tassel,Weapon,3,Character Event Wish
2021-02-03 10:06:36,Black Tassel,Weapon,3,Character Event Wish
2021-02-03 10:06:36,Harbinger of Dawn,Weapon,3,Character Event Wish
2021-02-03 10:06:36,Magic Guide,Weapon,3,Character Event Wish
2021-02-03 10:06:36,Bloodtainted Greatsword,Weapon,3,Character Event Wish
2021-02-03 10:06:28,Raven Bow,Weapon,3,Character Event Wish
2021-02-03 10:06:28,Harbinger of Dawn,Weapon,3,Character Event Wish
2021-02-03 10:06:28,Slingshot,Weapon,3,Character Event Wish
2021-02-03 10:06:28,Beidou,Character,4,Character Event Wish
2021-02-03 10:06:28,Xinyan,Character,4,Character Event Wish
2021-02-03 10:06:28,Black Tassel,Weapon,3,Character Event Wish
2021-02-03 10:06:28,Emerald Orb,Weapon,3,Character Event Wish
2021-02-03 10:06:28,Skyrider Sword,Weapon,3,Character Event Wish
2021-02-03 10:06:28,Ferrous Shadow,Weapon,3,Character Event Wish
2021-02-03 10:06:28,Skyrider Sword,Weapon,3,Character Event Wish
2021-02-03 10:06:20,Magic Guide,Weapon,3,Character Event Wish
2021-02-03 10:06:20,Debate Club,Weapon,3,Character Event Wish
2021-02-03 10:06:20,Black Tassel,Weapon,3,Character Event Wish
2021-02-03 10:06:20,Debate Club,Weapon,3,Character Event Wish
2021-02-03 10:06:20,Rust,Weapon,4,Character Event Wish
2021-02-03 10:06:20,Cool Steel,Weapon,3,Character Event Wish
2021-02-03 10:06:20,Slingshot,Weapon,3,Character Event Wish
2021-02-03 10:06:20,Thrilling Tales of Dragon Slayers,Weapon,3,Character Event Wish
2021-02-03 10:06:20,Slingshot,Weapon,3,Character Event Wish
2021-02-03 10:06:20,Skyrider Sword,Weapon,3,Character Event Wish
2021-02-01 09:53:46,Bloodtainted Greatsword,Weapon,3,Character Event Wish
2021-02-01 09:53:46,Cool Steel,Weapon,3,Character Event Wish
2021-02-01 09:53:46,Ferrous Shadow,Weapon,3,Character Event Wish
2021-02-01 09:53:46,Raven Bow,Weapon,3,Character Event Wish
2021-02-01 09:53:46,Xingqiu,Character,4,Character Event Wish
2021-02-01 09:53:46,Thrilling Tales of Dragon Slayers,Weapon,3,Character Event Wish
2021-02-01 09:53:46,Emerald Orb,Weapon,3,Character Event Wish
2021-02-01 09:53:46,Sharpshooter's Oath,Weapon,3,Character Event Wish
2021-02-01 09:53:46,Thrilling Tales of Dragon Slayers,Weapon,3,Character Event Wish
2021-02-01 09:53:46,Raven Bow,Weapon,3,Character Event Wish
2021-02-01 09:49:51,Magic Guide,Weapon,3,Character Event Wish
2021-02-01 09:49:51,Debate Club,Weapon,3,Character Event Wish
2021-02-01 09:49:51,Xingqiu,Character,4,Character Event Wish
2021-02-01 09:49:51,Cool Steel,Weapon,3,Character Event Wish
2021-02-01 09:49:51,Skyrider Sword,Weapon,3,Character Event Wish
2021-02-01 09:49:51,Slingshot,Weapon,3,Character Event Wish
2021-02-01 09:49:51,Black Tassel,Weapon,3,Character Event Wish
2021-02-01 09:49:51,Sharpshooter's Oath,Weapon,3,Character Event Wish
2021-02-01 09:49:51,Sharpshooter's Oath,Weapon,3,Character Event Wish
2021-02-01 09:49:51,Raven Bow,Weapon,3,Character Event Wish
2021-01-15 20:16:18,Thrilling Tales of Dragon Slayers,Weapon,3,Permanent Wish
2021-01-08 13:37:54,Bloodtainted Greatsword,Weapon,3,Weapon Event Wish
2021-01-08 13:37:44,Skyrider Sword,Weapon,3,Permanent Wish
2021-01-08 13:37:40,Thrilling Tales of Dragon Slayers,Weapon,3,Permanent Wish
2021-01-08 13:37:37,Ferrous Shadow,Weapon,3,Permanent Wish
2021-01-08 13:37:34,Debate Club,Weapon,3,Permanent Wish
2021-01-08 13:37:30,Emerald Orb,Weapon,3,Permanent Wish
2021-01-08 13:37:26,Ferrous Shadow,Weapon,3,Permanent Wish
2021-01-08 13:37:21,Harbinger of Dawn,Weapon,3,Permanent Wish
2021-01-08 13:37:15,Fischl,Character,4,Permanent Wish
2021-01-05 14:52:06,Skyrider Sword,Weapon,3,Permanent Wish
2021-01-05 14:52:06,Skyrider Sword,Weapon,3,Permanent Wish
2021-01-05 14:52:06,Emerald Orb,Weapon,3,Permanent Wish
2021-01-05 14:52:06,Skyrider Sword,Weapon,3,Permanent Wish
2021-01-05 14:52:06,Slingshot,Weapon,3,Permanent Wish
2021-01-05 14:52:06,Favonius Sword,Weapon,4,Permanent Wish
2021-01-05 14:52:06,Sharpshooter's Oath,Weapon,3,Permanent Wish
2021-01-05 14:52:06,Cool Steel,Weapon,3,Permanent Wish
2021-01-05 14:52:06,Thrilling Tales of Dragon Slayers,Weapon,3,Permanent Wish
2021-01-05 14:52:06,Ferrous Shadow,Weapon,3,Permanent Wish
2021-01-05 14:51:20,Bloodtainted Greatsword,Weapon,3,Permanent Wish
2021-01-05 14:51:20,Slingshot,Weapon,3,Permanent Wish
2021-01-05 14:51:20,Black Tassel,Weapon,3,Permanent Wish
2021-01-05 14:51:20,Dragon's Bane,Weapon,4,Permanent Wish
2021-01-05 14:51:20,Magic Guide,Weapon,3,Permanent Wish
2021-01-05 14:51:20,Skyrider Sword,Weapon,3,Permanent Wish
2021-01-05 14:51:20,Skyrider Sword,Weapon,3,Permanent Wish
2021-01-05 14:51:20,Skyrider Sword,Weapon,3,Permanent Wish
2021-01-05 14:51:20,Razor,Character,4,Permanent Wish
2021-01-05 14:51:20,Harbinger of Dawn,Weapon,3,Permanent Wish
2020-12-25 17:25:08,Bennett,Character,4,Character Event Wish
2020-12-25 17:25:08,Harbinger of Dawn,Weapon,3,Character Event Wish
2020-12-25 17:25:08,Bloodtainted Greatsword,Weapon,3,Character Event Wish
2020-12-25 17:25:08,Thrilling Tales of Dragon Slayers,Weapon,3,Character Event Wish
2020-12-25 17:25:08,The Bell,Weapon,4,Character Event Wish
2020-12-25 17:25:08,Magic Guide,Weapon,3,Character Event Wish
2020-12-25 17:25:08,Harbinger of Dawn,Weapon,3,Character Event Wish
2020-12-25 17:25:08,Sucrose,Character,4,Character Event Wish
2020-12-25 17:25:08,Cool Steel,Weapon,3,Character Event Wish
2020-12-25 17:25:08,Raven Bow,Weapon,3,Character Event Wish
2020-12-24 21:08:27,Harbinger of Dawn,Weapon,3,Character Event Wish
2020-12-24 21:08:23,Raven Bow,Weapon,3,Character Event Wish
2020-12-24 21:08:19,Harbinger of Dawn,Weapon,3,Character Event Wish
2020-12-24 21:08:14,Thrilling Tales of Dragon Slayers,Weapon,3,Character Event Wish
2020-12-24 21:08:09,Magic Guide,Weapon,3,Character Event Wish
2020-12-24 21:08:05,Cool Steel,Weapon,3,Character Event Wish
2020-12-24 21:08:00,Cool Steel,Weapon,3,Character Event Wish
2020-12-24 21:07:55,Fischl,Character,4,Character Event Wish
2020-12-24 21:07:48,Debate Club,Weapon,3,Character Event Wish
2020-12-24 21:07:35,Slingshot,Weapon,3,Character Event Wish
2020-12-24 21:07:16,Skyrider Sword,Weapon,3,Character Event Wish
2020-12-09 15:49:13,Emerald Orb,Weapon,3,Character Event Wish
2020-12-09 15:49:13,Bennett,Character,4,Character Event Wish
2020-12-09 15:49:13,Ferrous Shadow,Weapon,3,Character Event Wish
2020-12-09 15:49:13,Mona,Character,5,Character Event Wish
2020-12-09 15:49:13,Magic Guide,Weapon,3,Character Event Wish
2020-12-09 15:49:13,Slingshot,Weapon,3,Character Event Wish
2020-12-09 15:49:13,Black Tassel,Weapon,3,Character Event Wish
2020-12-09 15:49:13,Ferrous Shadow,Weapon,3,Character Event Wish
2020-12-09 15:49:13,Magic Guide,Weapon,3,Character Event Wish
2020-12-09 15:49:13,Ferrous Shadow,Weapon,3,Character Event Wish
2020-12-09 15:48:16,Black Tassel,Weapon,3,Permanent Wish
2020-12-09 15:48:16,Emerald Orb,Weapon,3,Permanent Wish
2020-12-09 15:48:16,Sharpshooter's Oath,Weapon,3,Permanent Wish
2020-12-09 15:48:16,Thrilling Tales of Dragon Slayers,Weapon,3,Permanent Wish
2020-12-09 15:48:16,Kaeya,Character,4,Permanent Wish
2020-12-09 15:48:16,Thrilling Tales of Dragon Slayers,Weapon,3,Permanent Wish
2020-12-09 15:48:16,Emerald Orb,Weapon,3,Permanent Wish
2020-12-09 15:48:16,Raven Bow,Weapon,3,Permanent Wish
2020-12-09 15:48:16,Raven Bow,Weapon,3,Permanent Wish
2020-12-09 15:48:16,Emerald Orb,Weapon,3,Permanent Wish
2020-12-09 15:47:41,Black Tassel,Weapon,3,Permanent Wish
2020-12-09 15:47:41,Eye of Perception,Weapon,4,Permanent Wish
2020-12-09 15:47:41,Skyrider Sword,Weapon,3,Permanent Wish
2020-12-09 15:47:41,Black Tassel,Weapon,3,Permanent Wish
2020-12-09 15:47:41,Thrilling Tales of Dragon Slayers,Weapon,3,Permanent Wish
2020-12-09 15:47:41,Magic Guide,Weapon,3,Permanent Wish
2020-12-09 15:47:41,Black Tassel,Weapon,3,Permanent Wish
2020-12-09 15:47:41,Magic Guide,Weapon,3,Permanent Wish
2020-12-09 15:47:41,Skyrider Sword,Weapon,3,Permanent Wish
2020-12-09 15:47:41,Black Tassel,Weapon,3,Permanent Wish
2020-12-02 20:50:05,Thrilling Tales of Dragon Slayers,Weapon,3,Novice Wishes
2020-12-02 20:50:05,Raven Bow,Weapon,3,Novice Wishes
2020-12-02 20:50:05,Black Tassel,Weapon,3,Novice Wishes
2020-12-02 20:50:05,Xingqiu,Character,4,Novice Wishes
2020-12-02 20:50:05,Debate Club,Weapon,3,Novice Wishes
2020-12-02 20:50:05,Emerald Orb,Weapon,3,Novice Wishes
2020-12-02 20:50:05,Harbinger of Dawn,Weapon,3,Novice Wishes
2020-12-02 20:50:05,Cool Steel,Weapon,3,Novice Wishes
2020-12-02 20:50:05,Sharpshooter's Oath,Weapon,3,Novice Wishes
2020-12-02 20:50:05,Magic Guide,Weapon,3,Novice Wishes
2020-11-29 18:59:11,Cool Steel,Weapon,3,Novice Wishes
2020-11-29 18:59:11,Raven Bow,Weapon,3,Novice Wishes
2020-11-29 18:59:11,Noelle,Character,4,Novice Wishes
2020-11-29 18:59:11,Sharpshooter's Oath,Weapon,3,Novice Wishes
2020-11-29 18:59:11,Debate Club,Weapon,3,Novice Wishes
2020-11-29 18:59:11,Thrilling Tales of Dragon Slayers,Weapon,3,Novice Wishes
2020-11-29 18:59:11,Beidou,Character,4,Novice Wishes
2020-11-29 18:59:11,Skyrider Sword,Weapon,3,Novice Wishes
2020-11-29 18:59:11,Raven Bow,Weapon,3,Novice Wishes
2020-11-29 18:59:11,Skyrider Sword,Weapon,3,Novice Wishes
